,Komentar
96,"Rekruitmen guru lewat marketplace tanda kalo Mendikbud Nadiem Makarim gagal membangun koordinasi dg Pemda shg tdk mampu meyakinkan Pemda unt merekrut guru P3K bagi daerah masing2. Cuma masalahnya, guru itu bukan barang dagangan, tapi profesi yg luhur, shg terasa tdk etis"
97,"@awas_ajaaa @collegemenfess Cba dipahamin dlu paparan dari mas nadiem. Justru program marketplace jdi membantu guru dalam mendapatkan gaji yg layak, dan cepat diangkat asn"
98,"Mendikbudristek Nadiem Makarim mengatakan akan melakukan rekrutmen guru lewat sejenis marketplace.  Rencana itu sendiri telah dibahas bersama  Kemenkeu, Kemendagri, dan MenpanRB, serta disampaikan dalam Rapat Kerja dengan Komisi X DPR RI.

https://t.co/8ilRecHond https://t.co/O3S7Vwz1mF"
99,"Nadiem Bikin Aplikasi Marketplace Guru, Usulannya Dinilai Tidak Selesaikan Akar Masalah Tenaga Pendidik @nadiemmakarim   https://t.co/gCo9FAcpxZ"
100,Apa Itu Marketplace Guru? Platform Bentukan Menteri Nadiem Makarim https://t.co/3EFQULU0lq
101,Program marketplace untuk rekrutmen guru yang digagas Mendikbud-Ristek Nadiem Makarim dinilai tidak solutif dan malah menambah kontroversi baru.  https://t.co/KlgPlCeKK4
102,"Ada hal menarik saat rapat dengan Komisi X DPR RI tanggal 24 Mei 2023, Menteri Pendidikan, Kebudayaan, Riset dan Teknologi Nadiem Makarim mengusulkan suatu pola rekrutmen guru melalui marketplace guru

https://t.co/b14FsCdH12"
103,"Nadiem Makarim telah meluncurkan sebuah inovasi revolusioner yang saat ini terkenal dengan nama “Marketplace Guru”.

INFO DARI MENDIKBUDRISTEK : Inilah Manfaat dari Marketplace Bagi Guru di Indonesia https://t.co/j3bW5Gjkhy"
104,Apa Kata Pegiat Literasi Soal Marketplace Rekrutmen Guru Mas Menteri Nadiem?... https://t.co/qqqrmL9s7i
105,Seperti Gojek! Menteri Pendidikan Nadiem Makarim Bakal Buat Marketplace untuk Rekrutmen Guru di Indonesia&amp;nbsp; https://t.co/rjLjh8wAZ2
106,Apa Itu Marketplace Guru? Ini Penjelasan Mendikbudristek Nadiem Makarim https://t.co/tnVjU5upXT
107,"Marketplace Guru Gagasan Nadiem Tuai Kontroversi, Dinilai Tak Menyelesaikan Akar Permasalahan Tenaga Pendidik 
https://t.co/PvOiCZrr0g 
#GuruHonorer #Kemendikbud #Marketplace #NadiemMakarim"
