,user,date,renderedContent
79,sulist_cr3w__,2023-06-05 12:26:25+00:00,"OTAK BISNIS BUSUK NADIEM DITERAPKAN DALAM RANAH PENDIDIKAN....

GURU DIPERJUAL BELIKAN LAYAKNYA ""BARANG DAGANGAN

Marketplace  merendahkan harkat martabat  guru‼️🥵😡 https://t.co/IFgUXaoImM"
80,radarbanjarmsin,2023-06-05 11:30:00+00:00,Dunia pendidikan saat ini tengah ramai memperbincangkan rencana Program Marketplace Guru yang digagas Menteri Pendidikan Kebudayaan Riset dan Teknologi (Mendikbud Ristek) Nadiem Makarim. https://t.co/RCAesP3dIM
81,Indolin_id,2023-06-05 11:08:25+00:00,"DPD RI Minta Menteri Nadiem Mengganti Nama Platform Marketplace Guru 
https://t.co/DxxZ5Ql0el
OPEN PO"
82,LaNyallaMM1,2023-06-05 10:45:05+00:00,"Syarat ketiga, saya minta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated."
83,LaNyallaMM1,2023-06-05 10:45:01+00:00,"Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia.

#LaNyalla #dpdri #ketuadpdri #guru https://t.co/xoIgnyYpxc"
84,jpnncom,2023-06-05 10:28:02+00:00,LaNyalla Dukung Gagasan Menteri Nadiem soal Marketplace Guru dengan Catatan Ini #marketplaceguru https://t.co/C6QfNxpbtr
85,MandalikaId,2023-06-05 10:18:49+00:00,"LaNyalla Minta Menteri Nadiem Mengganti Nama Platform Marketplace Guru
https://t.co/zu7SXSFdBf
Rusia"
86,hariankompas,2023-06-05 10:00:01+00:00,"Ide pembuatan marketplace guru dicetuskan oleh Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nadiem Makarim pada rapat kerja dengan Komisi X DPR, 24 Mei 2023.

Menyoal “Marketplace” Guru
Opini 5 Juni 2023

https://t.co/ghV6aPLfKe https://t.co/7o4IGUe9JS"
87,beritajatimcom,2023-06-05 09:51:39+00:00,"LaNyalla Dukung Gagasan Menteri Nadiem, Asal Penuhi 3 Syarat.

LaNyalla Mahmud Mattalitti mendukung gagasan Menteri Nadiem Makarim tentang marketplace guru. Tetapi, dia menetapkan tiga… #PendidikanKesehatan #LanyallaMahmudMattalitti via @beritajatimcom https://t.co/IxzNTceYHk"
88,SpiritLanyalla,2023-06-05 09:47:51+00:00,"""Marketplace untuk talent guru, di mana akan ada suatu tempat di mana semua guru-guru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di Indonesia,"" terang Nadiem.(*)

#lanyalla #nadiem lanyalla #guru"
89,SpiritLanyalla,2023-06-05 09:47:50+00:00,"Nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan Kemenkeu, Kemendagri dan Kemenpan-RB dalam membuat solusi atas permasalahan mengenai guru. Salah satu solusinya adalah dengan pembuatan marketplace untuk guru.
#lanyalla #nadiem lanyalla #guru"
90,SpiritLanyalla,2023-06-05 09:47:50+00:00,"Marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut.
#lanyalla #nadiem lanyalla #guru"
91,SpiritLanyalla,2023-06-05 09:47:49+00:00,"Untuk diketahui, Menteri Nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahun-tahun. #lanyalla #nadiem lanyalla #guru"
92,SpiritLanyalla,2023-06-05 09:47:48+00:00,"""Tidak perlu menggunakan kalimat seolah-olah gagasan ini seperti marketplace jual beli barang. Guru ini manusia terhormat, jangan disamakan dengan barang atau jasa. #lanyalla #nadiem lanyalla #guru"
93,SpiritLanyalla,2023-06-05 09:47:47+00:00,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated.#lanyalla #nadiem lanyalla #guru"
94,SpiritLanyalla,2023-06-05 09:47:41+00:00,"Ketua DPD RI Dukung Gagasan Menteri Nadiem, Asal Lakukan Tiga Hal Ini

JAKARTA - Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. #lanyalla #nadiem lanyalla #guru https://t.co/hSzYhZFfva https://t.co/jlHZMg74rD"
